NAMA PRODUK;PRODUCT DESCRIPTION;KATEGORI PRODUK;SATUAN UNIT;MERK;HPP;ECERAN;PARTAI;GROSIR
SCD - 040;Hidrolis Deco 80 & 100;22;9;KNOCKERS;1;97000;97000;97000
;;;;;;;;
DM - 100HW;1 Pintu Kaca 80kg;22;9;KNOCKERS;1;550000;550000;550000
HW - 80;1 Pintu Kayu 80kg ;22;9;KNOCKERS;1;440000;440000;440000
THW - 025;Rel atas 2,5m;22;10;KNOCKERS;1;440000;440000;440000
THW - 035;Rel atas 3,5m;22;10;KNOCKERS;1;590000;590000;590000
;;;;;;;;
SYN - 02;2 Pintu Kayu;22;9;KNOCKERS;1;2585000;2585000;2585000
SYN - 03;2 Pintu Kaca;22;9;KNOCKERS;1;2940000;2940000;2940000
;;;;;;;;
TLS - 02W;2 Pintu Kayu;22;9;KNOCKERS;1;2585000;2585000;2585000
TLS - 03W;3 Pintu Kayu;22;9;KNOCKERS;1;3475000;3475000;3475000
TLS - 02GL;2 Pintu Kaca;22;9;KNOCKERS;1;3025000;3025000;3025000
TLS - 03GL;3 Pintu Kaca;22;9;KNOCKERS;1;4015000;4015000;4015000
TLS - A2500;Rel atas 2,5m;22;10;KNOCKERS;1;550000;550000;550000
TLS - A3500;Rel atas 3,5m;22;10;KNOCKERS;1;770000;770000;770000
TLS - B2500;Rel bawah 2,5m;22;10;KNOCKERS;1;275000;275000;275000
TLS - B3500;Rel bawah 3,5m;22;10;KNOCKERS;1;385000;385000;385000
;;;;;;;;
P1 - 50E;1 Pintu 50kg(P50E);22;9;KNOCKERS;1;9000000;9000000;9000000
P2 - 50E;2 Pintu 50kg(P52E);22;9;KNOCKERS;1;22000000;22000000;22000000
P2SYN - 50E;2 Pintu 50kg(P51E);22;9;KNOCKERS;1;11000000;11000000;11000000
P4SYN - 50E;4 Pintu 50kg(P53E);22;9;KNOCKERS;1;22000000;22000000;22000000
;;;;;;;;
P80E WD /SA;1 pintu kayu 80kg;22;9;KNOCKERS;1;7700000;7700000;7700000
P80E GL /SA;1 pintu kaca 80kg;22;9;KNOCKERS;1;8525000;8525000;8525000
;;;;;;;;
SE - 40;1 Pintu Kayu 40kg;22;9;KNOCKERS;1;440000;440000;440000
SE - 40GL;1 Pintu Kaca 40kg;22;9;KNOCKERS;1;550000;550000;550000
TSE - 025;Rel atas 2,5m;22;10;KNOCKERS;1;440000;440000;440000
TSE - 035;Rel atas 3,5m;22;10;KNOCKERS;1;550000;550000;550000
USE - 025;Rel bawah 2,5m;22;10;KNOCKERS;1;275000;275000;275000
USE - 035;Rel bawah 3,5m;22;10;KNOCKERS;1;385000;385000;385000
;;;;;;;;
P80 WD;1 pintu kayu 80kg;22;9;KNOCKERS;1;880000;880000;880000
P80 GL;1 pintu kayu 80kg;22;9;KNOCKERS;1;990000;990000;990000
TPS - A2500;Rel atas 2,5m;22;10;KNOCKERS;1;1440000;1440000;1440000
TPS - A3500;Rel atas 3,5m;22;10;KNOCKERS;1;1588500;1588500;1588500
TPS - B2500;Rel bawah 2,5m;22;10;KNOCKERS;1;275000;275000;275000
TPS - B3500;Rel bawah 3,5m;22;10;KNOCKERS;1;385000;385000;385000
;;;;;;;;
P200 WD;1 pintu kayu 200kg;22;9;KNOCKERS;1;2310000;2310000;2310000
P200 GL;1 pintu kayu 200kg;22;9;KNOCKERS;1;2530000;2530000;2530000
TP200 - A2500;Rel atas 2,5m;22;10;KNOCKERS;1;2475000;2475000;2475000
TP200 - A3500;Rel atas 3,5m;22;10;KNOCKERS;1;3850000;3850000;3850000
TP200 - B2500;Rel bawah 2,5m;22;10;KNOCKERS;1;440000;440000;440000
TP200 - B3500;Rel bawah 3,5m;22;10;KNOCKERS;1;550000;550000;550000
;;;;;;;;
P60 WD;1 pintu kayu 60kg;22;9;KNOCKERS;1;550000;550000;550000
P60 GL;1 pintu kayu 60kg;22;9;KNOCKERS;1;825000;825000;825000
TLS - A2500;Rel atas 2,5m;22;10;KNOCKERS;1;550000;550000;550000
TLS - A3500;Rel atas 3,5m;22;10;KNOCKERS;1;770000;770000;770000
TLS - B2500;Rel bawah 2,5m;22;10;KNOCKERS;1;275000;275000;275000
TLS - B3500;Rel bawah 3,5m;22;10;KNOCKERS;1;385000;385000;385000
;;;;;;;;
P100 WD;1 pintu kayu 100kg;22;9;KNOCKERS;1;1770000;1770000;1770000
P100 GL;1 pintu kayu 100kg;22;9;KNOCKERS;1;1935000;1935000;1935000
TP100 - A2500;Rel atas 2,5m;22;10;KNOCKERS;1;1440000;1440000;1440000
TP100 - A3500;Rel atas 3,5m;22;10;KNOCKERS;1;1588500;1588500;1588500
TP100 - B2500;Rel bawah 2,5m;22;10;KNOCKERS;1;275000;275000;275000
TP100 - B3500;Rel bawah 3,5m;22;10;KNOCKERS;1;385000;385000;385000
;;;;;;;;
P350 WD;1 pintu kayu 350kg;22;9;KNOCKERS;1;3025000;3025000;3025000
P350 GL;1 pintu kayu 350kg;22;9;KNOCKERS;1;3520000;3520000;3520000
TP350 - A2500;Rel atas 2,5m;22;10;KNOCKERS;1;2475000;2475000;2475000
TP350 - A3500;Rel atas 3,5m;22;10;KNOCKERS;1;3850000;3850000;3850000
TP350 - B2500;Rel bawah 2,5m;22;10;KNOCKERS;1;440000;440000;440000
TP350 - B3500;Rel bawah 3,5m;22;10;KNOCKERS;1;595000;595000;595000
;;;;;;;;
SD - 032A;Fitting 2 pintu 40kg;22;9;KNOCKERS;1;368500;368500;368500
SD - 033A;Fitting 3 pintu 40kg;22;9;KNOCKERS;1;588500;588500;588500
TA - 325;Rel atas bawah 2,5m;22;9;KNOCKERS;1;429000;429000;429000
TA - 335;Rel atas bawah 3,5m;22;9;KNOCKERS;1;596500;596500;596500
;;;;;;;;
SD - 001;Fitting 2 pintu 40kg;22;9;KNOCKERS;1;550000;550000;550000
SD - 003;Fitting 3 pintu 40kg;22;9;KNOCKERS;1;825000;825000;825000
TA - 2.5 mtr;Rel atas bawah 2,5m;22;9;KNOCKERS;1;550000;550000;550000
TA - 3.5 mtr;Rel atas bawah 3,5m;22;9;KNOCKERS;1;770000;770000;770000
;;;;;;;;
K - 70;Fitting 2 pintu 70kg;22;9;KNOCKERS;1;1320000;1320000;1320000
K - 73;Fitting 3 pintu 70kg;22;9;KNOCKERS;1;2125000;2125000;2125000
TA - 725;Rel atas bawah 2,5m;22;9;KNOCKERS;1;733000;733000;733000
TA - 735;Rel atas bawah 3,5m;22;9;KNOCKERS;1;1030000;1030000;1030000
;;;;;;;;
MU - 02;Fitting 2 pintu 80kg;22;9;KNOCKERS;1;1512500;1512500;1512500
MU - 03;Fitting 3 pintu 80kg;22;9;KNOCKERS;1;2178000;2178000;2178000
TMU - 025;Rel atas bawah 2,5m;22;9;KNOCKERS;1;660000;660000;660000
TMU - 035;Rel atas bawah 3,5m;22;9;KNOCKERS;1;935000;935000;935000
;;;;;;;;
SD - 050;;;9;KNOCKERS;1;1171500;1171500;1171500
SD - 053;;;9;KNOCKERS;1;1760000;1760000;1760000
TA - 525;;;9;KNOCKERS;1;660000;660000;660000
TA - 535;;;9;KNOCKERS;1;935000;935000;935000
;;;;;;;;
SD - 022;Fitting 2 pintu 40kg;;9;KNOCKERS;1;517000;517000;517000
SD - 023;Fitting 3 pintu 40kg;;9;KNOCKERS;1;770000;770000;770000
TA - 225;Rel atas bawah 2,5m;;9;KNOCKERS;1;517000;517000;517000
TA - 235;Rel atas bawah 3,5m;;9;KNOCKERS;1;720500;720500;720500
;;;;;;;;
P - 15 WD;1 pintu kayu 15kg;;9;KNOCKERS;1;440000;440000;440000
P - 15 GL;1 pintu kaca 15kg;;9;KNOCKERS;1;495000;495000;495000
TPS 15 - 020A;Rel atas 2m (Single);;9;KNOCKERS;1;104500;104500;104500
TPD 15 - 020A;Rel atas 2m (Double);;9;KNOCKERS;1;132000;132000;132000
TP 15 - 020B;Rel bawah 2m;;9;KNOCKERS;1;27000;27000;27000
;;;;;1;;;
P - 30 WD;1 pintu kayu 30kg;;9;KNOCKERS;1;624000;624000;624000
P - 30 GL;1 pintu kaca 30kg;;9;KNOCKERS;1;693000;693000;693000
TPS 30 - 020AB;Rel atas bawah 2m;;9;KNOCKERS;1;126500;126500;126500
TPS 30 - 025AB;Rel atas bawah 2,5m;;9;KNOCKERS;1;154000;154000;154000
;;;;;1;;;
BBSC - 30;BALL BEARING SOFT CLOSING 30 CM;;6;KNOCKERS;1;80000;80000;80000
BBSC - 35;BALL BEARING SOFT CLOSING 35 CM;;6;KNOCKERS;1;100000;100000;100000
BBSC - 40;BALL BEARING SOFT CLOSING 40 CM;;6;KNOCKERS;1;115000;115000;115000
BBSC - 45;BALL BEARING SOFT CLOSING 45 CM;;6;KNOCKERS;1;125000;125000;125000
BBSC - 50;BALL BEARING SOFT CLOSING 50 CM;;6;KNOCKERS;1;140000;140000;140000
BBSC - 55;BALL BEARING SOFT CLOSING 55 CM;;6;KNOCKERS;1;155000;155000;155000
;;;;;1;;;
TSMS - 30;TANDEM SOFT CLOSING SINGLE EXT 30 CM;;6;KNOCKERS;1;105000;105000;105000
TSMS - 35;TANDEM SOFT CLOSING SINGLE EXT 35 CM;;6;KNOCKERS;1;110000;110000;110000
TSMS - 40;TANDEM SOFT CLOSING SINGLE EXT 40 CM;;6;KNOCKERS;1;115000;115000;115000
TSMS - 45;TANDEM SOFT CLOSING SINGLE EXT 45 CM;;6;KNOCKERS;1;120000;120000;120000
TSMS - 50;TANDEM SOFT CLOSING SINGLE EXT 50 CM;;6;KNOCKERS;1;130000;130000;130000
TSMS - 55;TANDEM SOFT CLOSING SINGLE EXT 55 CM;;6;KNOCKERS;1;135000;135000;135000
;;;;;1;;;
TSMF - 30;TANDEM SOFT CLOSING FULL EXT 30 CM;;6;KNOCKERS;1;145000;145000;145000
TSMF - 35;TANDEM SOFT CLOSING FULL EXT 35 CM;;6;KNOCKERS;1;150000;150000;150000
TSMF - 40;TANDEM SOFT CLOSING FULL EXT 40 CM;;6;KNOCKERS;1;155000;155000;155000
TSMF - 45;TANDEM SOFT CLOSING FULL EXT 45 CM;;6;KNOCKERS;1;160000;160000;160000
TSMF - 50;TANDEM SOFT CLOSING FULL EXT 50 CM;;6;KNOCKERS;1;170000;170000;170000
TSMF - 55;TANDEM SOFT CLOSING FULL EXT 55 CM;;6;KNOCKERS;1;175000;175000;175000
;;;;;1;;;
BBPT - 30;BALL BEARING PUSH TO OPEN 30 CM;;6;KNOCKERS;1;75000;75000;75000
BBPT - 35;BALL BEARING PUSH TO OPEN 35 CM;;6;KNOCKERS;1;95000;95000;95000
BBPT - 40;BALL BEARING PUSH TO OPEN 40 CM;;6;KNOCKERS;1;110000;110000;110000
BBPT - 45;BALL BEARING PUSH TO OPEN 45 CM;;6;KNOCKERS;1;120000;120000;120000
BBPT - 50;BALL BEARING PUSH TO OPEN 50 CM;;6;KNOCKERS;1;135000;135000;135000
BBPT - 55;BALL BEARING PUSH TO OPEN 55 CM;;6;KNOCKERS;1;145000;145000;145000
;;;;;1;;;
ES - 30;DRAWER RUNNER W/ SILENT GREEN WHEEL 30 CM;;6;KNOCKERS;1;18000;18000;18000
ES - 35;DRAWER RUNNER W/ SILENT GREEN WHEEL 35 CM;;6;KNOCKERS;1;18500;18500;18500
ES - 40;DRAWER RUNNER W/ SILENT GREEN WHEEL 40 CM;;6;KNOCKERS;1;20500;20500;20500
ES - 45;DRAWER RUNNER W/ SILENT GREEN WHEEL 45 CM;;6;KNOCKERS;1;22000;22000;22000
ES - 50;DRAWER RUNNER W/ SILENT GREEN WHEEL 50 CM;;6;KNOCKERS;1;23000;23000;23000
ES - 55;DRAWER RUNNER W/ SILENT GREEN WHEEL 55 CM;;6;KNOCKERS;1;26500;26500;26500
;;;;;1;;;
SCH - 01 LURUS;ENGSEL ;;6;KNOCKERS;1;38000;38000;38000
SCH - 02  1/2 TEKUK;;;6;KNOCKERS;1;39000;39000;39000
SCH - 03 FULL TEKUK;;;6;KNOCKERS;1;40000;40000;40000
PTO - 01;;;6;KNOCKERS;1;27000;27000;27000
PTO - 02;;;6;KNOCKERS;1;30000;30000;30000
PTO - 03;;;6;KNOCKERS;1;31000;31000;31000
;;;;;1;;;
PH - 001;;;6;KNOCKERS;1;150000;150000;150000
RBD - 01;;;6;KNOCKERS;1;44000;44000;44000
;;;;;1;;;
PRH - 01;;;6;KNOCKERS;1;49000;49000;49000
PRH - 02;;;6;KNOCKERS;1;51000;51000;51000
PRH - 03;;;6;KNOCKERS;1;53000;53000;53000
;;;;;1;;;
EM - 01;;;6;KNOCKERS;1;15000;15000;15000
EM - 02;;;6;KNOCKERS;1;16000;16000;16000
EM - 03;;;6;KNOCKERS;1;17000;17000;17000
SCHB - 01;;;6;KNOCKERS;1;52000;52000;52000
SCHB - 02;;;6;KNOCKERS;1;54000;54000;54000
SCHB - 03;;;6;KNOCKERS;1;56000;56000;56000
;;;;;1;;;
DEV 02;;;6;KNOCKERS;1;88000;88000;88000
DBF 03;;;6;KNOCKERS;1;27000;27000;27000
;;;;;1;;;
SCHE 01;;;6;KNOCKERS;1;28000;28000;28000
SCHE 02;;;6;KNOCKERS;1;30000;30000;30000
SCHE 03;;;6;KNOCKERS;1;32000;32000;32000
;;;;;1;;;
GDH - 01;ENGSEL;;6;KNOCKERS;1;52000;52000;52000
GDH - 02;;;6;KNOCKERS;1;53000;53000;53000
GDH - 03;;;6;KNOCKERS;1;55000;55000;55000
UT - 01;;;6;KNOCKERS;1;58000;58000;58000
UT - 02;;;6;KNOCKERS;1;60000;60000;60000
UT - 03;;;6;KNOCKERS;1;62000;62000;62000
;;;;;1;;;
KLE - 22;KUNCI;;6;KNOCKERS;1;11000;11000;11000
KLK - 22;;;6;KNOCKERS;1;35500;35500;35500
KLK - 26;;;6;KNOCKERS;1;37500;37500;37500
KLK - 32;;;6;KNOCKERS;1;44000;44000;44000
KMK;;;6;KNOCKERS;1;16500;16500;16500
KRK;;;6;KNOCKERS;1;5500;5500;5500
;;;;;1;;;
KEK - 22;KUNCI;;6;KNOCKERS;1;93500;93500;93500
KEK - 26;;;6;KNOCKERS;1;99000;99000;99000
KEK - 32;;;6;KNOCKERS;1;105000;105000;105000
KRS - 22;;;6;KNOCKERS;1;40000;40000;40000
KPL - 22;;;6;KNOCKERS;1;39000;39000;39000
KCL - 22;;;6;KNOCKERS;1;39000;39000;39000
;;;;;1;;;
KCS - 600;KUNCI;;6;KNOCKERS;1;55000;55000;55000
KCS - 1200;;;6;KNOCKERS;1;65000;65000;65000
KCD - 600;;;6;KNOCKERS;1;57500;57500;57500
KCD - 1200;;;6;KNOCKERS;1;67500;67500;67500
COM - 04;;;6;KNOCKERS;1;84000;84000;84000
;;;;;1;;;
GS 80;GAS SPRING 80;;6;KNOCKERS;1;22000;22000;22000
GS 100;GAS SPRING 100;;6;KNOCKERS;1;24500;24500;24500
GS 120;GAS SPRING 120;;6;KNOCKERS;1;26500;26500;26500
GS 150;GAS SPRING 150;;6;KNOCKERS;1;28500;28500;28500
